"","EE_value_m10","Pct_EE_m10","EE_value_m20","Pct_EE_m20","EE_value_m40","Pct_EE_m40","EE_value_m80","Pct_EE_m80"
"k1,n1000",0.0723,0.236,0.0096,0.235,-0.0598,0.197,-0.0048,0.515
"k1,n4000",0.0695,0.142,0.0494,0.261,0.0181,0.191,0.0071,0.264
"k1,n16000",0.016,0.17,0.0018,0.176,0.004,0.197,0.0177,0.206
"k1,n64000",-1e-04,0.158,0.004,0.169,-0.0026,0.199,2e-04,0.207
"k1,n256000",0.0087,0.155,0.0054,0.182,-0.0046,0.201,-0.0068,0.209
"k2,n1000",0.1249,0.276,0.0275,0.339,0.0453,0.255,0.1066,0.433
"k2,n4000",0.0671,0.184,0.06,0.334,0.0043,0.342,0.0295,0.338
"k2,n16000",0.0415,0.264,0.0081,0.296,0.014,0.281,0.0307,0.326
"k2,n64000",0.0018,0.24,0.0099,0.264,0.0116,0.303,0.0102,0.297
"k2,n256000",0.014,0.24,0.012,0.275,0.004,0.301,1e-04,0.313
"k3,n1000",0.1108,0.34,0.0443,0.359,0.0092,0.334,0.1108,0.5
"k3,n4000",0.0741,0.178,0.088,0.346,0.0226,0.371,0.0028,0.402
"k3,n16000",0.042,0.294,0.0145,0.333,0.0244,0.35,0.0458,0.367
"k3,n64000",0.0017,0.279,0.0151,0.3,0.0168,0.354,0.0139,0.35
"k3,n256000",0.0168,0.274,0.0135,0.319,0.0072,0.348,0.0047,0.359
