"","value_m10","se_m10","rt_m10","value_m20","se_m20","rt_m20","value_m40","se_m40","rt_m40","value_m80","se_m80","rt_m80"
"k1,n1000",2.2873,0.0914,0.082,2.2247,0.0879,0.1559,2.1553,0.0842,0.3327,2.2102,0.0889,0.7071
"k1,n4000",2.2846,0.0477,0.2932,2.2644,0.0451,0.6279,2.2332,0.0455,1.1886,2.2222,0.0437,2.7452
"k1,n16000",2.2311,0.0233,1.4524,2.2169,0.0227,2.5214,2.219,0.0228,4.919,2.2327,0.0225,10.7375
"k1,n64000",2.2149,0.0115,4.9404,2.219,0.0114,10.8878,2.2125,0.0111,21.5049,2.2152,0.0111,43.2241
"k1,n256000",2.2237,0.0058,18.3934,2.2205,0.0057,45.5,2.2104,0.0056,88.6416,2.2083,0.0055,187.2234
"k2,n1000",2.3399,0.0941,0.079,2.2425,0.0858,0.1698,2.2603,0.0917,0.376,2.3217,0.0989,0.6843
"k2,n4000",2.2822,0.0474,0.2984,2.275,0.0447,0.6669,2.2194,0.0422,1.308,2.2445,0.0429,3.2244
"k2,n16000",2.2566,0.0233,1.5672,2.2232,0.022,2.5874,2.2291,0.0222,5.5313,2.2458,0.0216,11.3983
"k2,n64000",2.2168,0.0111,5.2572,2.2249,0.011,10.0367,2.2266,0.0109,22.0945,2.2253,0.011,46.1545
"k2,n256000",2.2291,0.0057,20.972,2.2271,0.0055,41.2536,2.219,0.0054,93.1644,2.2151,0.0053,191.9447
"k3,n1000",2.3259,0.0927,0.0692,2.2593,0.0862,0.1531,2.2243,0.0868,0.3351,2.3259,0.098,0.6212
"k3,n4000",2.2892,0.0479,0.2745,2.3031,0.0457,0.653,2.2376,0.0452,1.2258,2.2179,0.0403,2.3992
"k3,n16000",2.2571,0.0231,0.9971,2.2295,0.022,2.7475,2.2395,0.0225,5.247,2.2608,0.023,10.4104
"k3,n64000",2.2167,0.0111,4.1207,2.2301,0.0113,11.2565,2.2318,0.0109,20.4469,2.2289,0.0112,43.9203
"k3,n256000",2.2319,0.0057,20.8081,2.2285,0.0055,43.3345,2.2223,0.0055,88.762,2.2198,0.0054,187.1449
