"","value_m10","se_m10","rt_m10","value_m20","se_m20","rt_m20","value_m40","se_m40","rt_m40","value_m80","se_m80","rt_m80"
"k1,n1000",2.2873,0.0914,0.0128,2.2247,0.0879,0.0024,2.1553,0.0842,0.0053,2.2102,0.0889,0.0103
"k1,n4000",2.2846,0.0477,0.0046,2.2644,0.0451,0.0088,2.2332,0.0455,0.0234,2.2222,0.0437,0.0404
"k1,n16000",2.2311,0.0233,0.0176,2.2169,0.0227,0.0909,2.219,0.0228,0.0826,2.2327,0.0225,0.1683
"k1,n64000",2.2149,0.0115,0.0839,2.219,0.0114,0.16,2.2125,0.0111,0.3388,2.2152,0.0111,0.7099
"k1,n256000",2.2237,0.0058,0.3679,2.2205,0.0057,0.761,2.2104,0.0056,1.5137,2.2083,0.0055,2.8193
"k2,n1000",2.3399,0.0941,0.0013,2.2425,0.0858,0.0027,2.2603,0.0917,0.0054,2.3217,0.0989,0.0109
"k2,n4000",2.2822,0.0474,0.0045,2.275,0.0447,0.01,2.2194,0.0422,0.0203,2.2445,0.0429,0.0405
"k2,n16000",2.2566,0.0233,0.0194,2.2232,0.022,0.045,2.2291,0.0222,0.0812,2.2458,0.0216,0.175
"k2,n64000",2.2168,0.0111,0.085,2.2249,0.011,0.1678,2.2266,0.0109,0.353,2.2253,0.011,0.7242
"k2,n256000",2.2291,0.0057,0.34,2.2271,0.0055,0.7623,2.219,0.0054,1.5714,2.2151,0.0053,3.0637
"k3,n1000",2.3259,0.0927,0.0014,2.2593,0.0862,0.003,2.2243,0.0868,0.0056,2.3259,0.098,0.0115
"k3,n4000",2.2892,0.0479,0.0049,2.3031,0.0457,0.0102,2.2376,0.0452,0.0211,2.2179,0.0403,0.0469
"k3,n16000",2.2571,0.0231,0.0198,2.2295,0.022,0.041,2.2395,0.0225,0.0945,2.2608,0.023,0.1856
"k3,n64000",2.2167,0.0111,0.0902,2.2301,0.0113,0.1865,2.2318,0.0109,0.3511,2.2289,0.0112,0.7842
"k3,n256000",2.2319,0.0057,0.3588,2.2285,0.0055,0.8297,2.2223,0.0055,1.5572,2.2198,0.0054,3.1976
