"","EE_value_m10","Pct_EE_m10","EE_value_m20","Pct_EE_m20","EE_value_m40","Pct_EE_m40","EE_value_m80","Pct_EE_m80"
"k1,n1000",0.0882,0.317,-0.0217,0.377,0.0097,0.393,-0.0668,0.459
"k1,n4000",0.0316,0.296,0.0643,0.365,0.0085,0.396,0.0297,0.399
"k1,n16000",0.0333,0.304,0.0101,0.354,-0.0013,0.379,0.0154,0.41
"k1,n64000",2e-04,0.306,0.005,0.344,0.009,0.378,-0.011,0.401
"k1,n256000",0.0151,0.299,0.0096,0.346,1e-04,0.38,-0.0079,0.397
"k2,n1000",0.1339,0.274,0.0244,0.341,0.0316,0.255,0.0816,0.505
"k2,n4000",0.071,0.182,0.0586,0.338,0.0182,0.371,0.0218,0.374
"k2,n16000",0.0355,0.266,0.0104,0.296,0.0106,0.313,0.0341,0.375
"k2,n64000",0.0043,0.234,0.0101,0.263,0.0125,0.319,0.0045,0.349
"k2,n256000",0.0126,0.237,0.0119,0.277,0.0045,0.319,5e-04,0.348
"k3,n1000",0.12,0.329,0.0297,0.357,4e-04,0.335,0.1014,0.493
"k3,n4000",0.0729,0.176,0.065,0.346,0.0428,0.372,0.0442,0.38
"k3,n16000",0.039,0.286,0.0113,0.319,0.0212,0.336,0.0397,0.365
"k3,n64000",7e-04,0.272,0.0113,0.295,0.0145,0.347,0.0101,0.341
"k3,n256000",0.0166,0.27,0.012,0.307,0.0056,0.34,0.0037,0.35
