"","value_m10","se_m10","rt_m10","value_m20","se_m20","rt_m20","value_m40","se_m40","rt_m40","value_m80","se_m80","rt_m80"
"k1,n1000",2.3032,0.0898,0.0804,2.1934,0.081,0.1322,2.2247,0.0859,0.3639,2.1483,0.0717,0.5653
"k1,n4000",2.2466,0.0438,0.3348,2.2793,0.0443,0.5116,2.2236,0.041,1.8955,2.2447,0.0418,2.1526
"k1,n16000",2.2483,0.0227,1.2122,2.2251,0.0214,2.628,2.2137,0.021,4.128,2.2305,0.0202,10.0471
"k1,n64000",2.2153,0.0108,5.5253,2.2201,0.0106,9.8306,2.2241,0.0105,19.9488,2.2041,0.0101,44.7332
"k1,n256000",2.2301,0.0055,19.4124,2.2246,0.0053,42.9583,2.2151,0.0052,93.5739,2.2071,0.0051,181.4348
"k2,n1000",2.349,0.0943,0.0828,2.2395,0.0853,0.1601,2.2467,0.0903,0.3372,2.2967,0.0965,0.6419
"k2,n4000",2.2861,0.0475,0.3511,2.2737,0.0449,0.548,2.2332,0.0424,1.249,2.2369,0.0424,2.453
"k2,n16000",2.2506,0.023,1.313,2.2254,0.0221,2.3114,2.2257,0.0221,5.1491,2.2491,0.0216,10.1364
"k2,n64000",2.2194,0.0112,5.3004,2.2252,0.011,10.6131,2.2275,0.0109,21.7603,2.2196,0.0108,43.4867
"k2,n256000",2.2276,0.0056,18.9427,2.2269,0.0055,42.1237,2.2196,0.0054,88.6311,2.2155,0.0053,194.7133
"k3,n1000",2.3351,0.0934,0.0644,2.2448,0.0858,0.6513,2.2155,0.0859,0.2939,2.3165,0.0994,0.5788
"k3,n4000",2.2879,0.048,0.2421,2.28,0.0441,0.6849,2.2578,0.0451,1.0292,2.2592,0.0431,2.0965
"k3,n16000",2.254,0.0229,0.9723,2.2264,0.0219,2.5528,2.2362,0.0225,4.1087,2.2547,0.0225,9.9413
"k3,n64000",2.2158,0.0111,3.9794,2.2264,0.0111,10.2603,2.2295,0.0109,19.6898,2.2252,0.0111,42.9747
"k3,n256000",2.2316,0.0056,18.8079,2.2271,0.0056,46.3951,2.2206,0.0054,85.5054,2.2188,0.0054,185.7453
