"","value_m10","se_m10","rt_m10","value_m20","se_m20","rt_m20","value_m40","se_m40","rt_m40","value_m80","se_m80","rt_m80"
"k1,n1000",2.3032,0.0898,0.0098,2.1934,0.081,0.0032,2.2247,0.0859,0.0054,2.1483,0.0717,0.0113
"k1,n4000",2.2466,0.0438,0.013,2.2793,0.0443,0.0111,2.2236,0.041,0.0191,2.2447,0.0418,0.0399
"k1,n16000",2.2483,0.0227,0.0235,2.2251,0.0214,0.0372,2.2137,0.021,0.0865,2.2305,0.0202,0.1756
"k1,n64000",2.2153,0.0108,0.1276,2.2201,0.0106,0.1755,2.2241,0.0105,0.3117,2.2041,0.0101,0.6608
"k1,n256000",2.2301,0.0055,0.3479,2.2246,0.0053,0.7727,2.2151,0.0052,1.39,2.2071,0.0051,2.8284
"k2,n1000",2.349,0.0943,0.0017,2.2395,0.0853,0.0032,2.2467,0.0903,0.0075,2.2967,0.0965,0.0171
"k2,n4000",2.2861,0.0475,0.0054,2.2737,0.0449,0.0111,2.2332,0.0424,0.0234,2.2369,0.0424,0.0511
"k2,n16000",2.2506,0.023,0.0217,2.2254,0.0221,0.0466,2.2257,0.0221,0.0918,2.2491,0.0216,0.2209
"k2,n64000",2.2194,0.0112,0.0881,2.2252,0.011,0.1796,2.2275,0.0109,0.3977,2.2196,0.0108,0.7909
"k2,n256000",2.2276,0.0056,0.3798,2.2269,0.0055,0.8221,2.2196,0.0054,1.5772,2.2155,0.0053,3.3583
"k3,n1000",2.3351,0.0934,0.002,2.2448,0.0858,0.0041,2.2155,0.0859,0.008,2.3165,0.0994,0.0363
"k3,n4000",2.2879,0.048,0.0065,2.28,0.0441,0.0126,2.2578,0.0451,0.0253,2.2592,0.0431,0.0522
"k3,n16000",2.254,0.0229,0.0249,2.2264,0.0219,0.0535,2.2362,0.0225,0.1077,2.2547,0.0225,0.2351
"k3,n64000",2.2158,0.0111,0.0995,2.2264,0.0111,0.2162,2.2295,0.0109,0.4092,2.2252,0.0111,0.8643
"k3,n256000",2.2316,0.0056,0.4085,2.2271,0.0056,0.8942,2.2206,0.0054,1.8166,2.2188,0.0054,3.7954
