"","EE_value_m10","Pct_EE_m10","EE_value_m20","Pct_EE_m20","EE_value_m30","Pct_EE_m30","EE_value_m40","Pct_EE_m40","EE_value_m50","Pct_EE_m50"
"k1,n1000",0.0289463624321176,0.178,-0.0574529769520633,0.286,0.0127141819188989,0.193,-0.0398097578127392,0.442,-0.0120621201873066,0.198
"k1,n4000",0.00582531204868708,0.181,0.0662313954053717,0.26275,0.000317941648626086,0.26925,-0.0403641139628665,0.30975,0.00211093837009324,0.35675
"k1,n16000",0.00812890366397756,0.181,0.057574653897317,0.199375,-0.0198712587282817,0.2365625,-0.00494723143222364,0.1705,-0.0106472136274824,0.2651875
"k1,n64000",-0.00789163998577047,0.174765625,-0.00719136208909221,0.220609375,0.00351698309941861,0.2445625,-0.00479557393058183,0.2693125,0.00417596401243481,0.272390625
"k1,n256000",0.00172373828824446,0.17774609375,0.00319051197302844,0.21126953125,-0.0159647414700252,0.252203125,-0.0023115087078649,0.2557578125,-0.00765211236582086,0.28413671875
"k2,n1000",0.0362490425917219,0.182,0.179766284453447,0.387,-0.189956002356425,0.342,0.104763663376811,0.367,0.181879659249372,0.287
"k2,n4000",0.0613287290392077,0.30825,-0.00451513909776269,0.244,0.0200125296635871,0.25275,0.0675138908140571,0.3295,0.104868266501705,0.30575
"k2,n16000",0.00945372198747929,0.2803125,0.00192073016742178,0.3011875,0.00754448593539969,0.29225,0.0132276675054634,0.289625,-0.00767431250109096,0.3165
"k2,n64000",0.0110355791711645,0.23884375,0.0122376926245189,0.2769375,-0.0155254551335036,0.289984375,0.00341903461509174,0.289984375,0.0180367259151324,0.289640625
"k2,n256000",0.0142786284157599,0.24253125,0.00680979560646833,0.2725703125,-0.00859868710514533,0.28617578125,0.00253257672438645,0.30039453125,0.0117716572128668,0.2983828125
"k3,n1000",-0.147233605028634,0.239,-0.0716893544907782,0.372,0.276464640717422,0.475,-0.00681742830638621,0.367,0.150195828262928,0.307
"k3,n4000",-0.0113277931413629,0.32675,0.0183129563932951,0.2995,0.0213274894332662,0.35825,0.0239614628674039,0.36525,0.0359650748462848,0.36075
"k3,n16000",-0.018001649128403,0.3015625,-0.0256586709293312,0.321625,0.00193781552974048,0.339875,-0.000165262279814726,0.3035,0.0266774795262581,0.3435
"k3,n64000",0.0109963111863887,0.290828125,0.00493929591240105,0.317953125,0.00917491090726941,0.338203125,0.0143084302571883,0.32771875,0.0159222761519633,0.346859375
"k3,n256000",0.00733379701712167,0.274515625,0.00444838157428107,0.31685546875,0.00878137381483901,0.3308203125,0.00960850947917935,0.3388046875,0.00838992078595835,0.347109375
