"","value_m10","se_m10","value_m20","se_m20","value_m30","se_m30","value_m40","se_m40","value_m50","se_m50"
"k1,n1000",2.20417099544955,0.0890545182202347,2.15954943874626,0.086270973551072,2.2910365886004,0.0922878264284067,2.22612875118242,0.088780472667873,2.18331553397403,0.0876205369399372
"k1,n4000",2.24461258917177,0.0468933275882782,2.26540248931498,0.0451825669699108,2.22516623603723,0.0436517100593454,2.22508308053316,0.0461742354168098,2.21270113122914,0.0440833119568963
"k1,n16000",2.23360935663125,0.0232139054387346,2.22661954661229,0.0229183141516645,2.19444414132485,0.0226021452254851,2.18417570588502,0.0221192510008188,2.2244744256974,0.0222317114111366
"k1,n64000",2.22511284822742,0.0115267030854876,2.21505483412823,0.01127614121345,2.22852148723801,0.0112391945885727,2.1972488498846,0.0109480081520045,2.22278949049743,0.0110832332822563
"k1,n256000",2.21116580631005,0.00574921878014509,2.22806803592678,0.00567595332400365,2.21771869255266,0.0055784641482329,2.21205821753054,0.00553333932832221,2.21125864414115,0.00552118768325325
"k2,n1000",2.32402379016357,0.103605446694392,2.23823944215152,0.085745837410896,2.3636211041976,0.0840589212316902,2.20424191254323,0.0962104915376966,2.31940867379572,0.0868073686684649
"k2,n4000",2.19325134342339,0.0484682066521151,2.22331677370591,0.0445525116082881,2.15007983008954,0.0442446697671766,2.19220691034486,0.0420380672894775,2.20048787588794,0.0437334725676079
"k2,n16000",2.21561409774373,0.0226424907642963,2.20670495666477,0.0220806612086936,2.23486844954805,0.0217439036045996,2.24647488428066,0.0213928832934329,2.23670654756242,0.0214625976397309
"k2,n64000",2.21104392069741,0.0113287983341542,2.22956045147596,0.0112938111383374,2.20089971860183,0.0108737255070556,2.23152397293735,0.0108957393728523,2.21239460987433,0.0107105626009504
"k2,n256000",2.22274654275522,0.00563782800795717,2.21374046859551,0.00548608297640121,2.2208101475637,0.00543939659929672,2.22164671478469,0.00538258226847135,2.21934767035231,0.00534809584476269
"k3,n1000",2.14190000198414,0.0977351577943034,2.46072310595035,0.100935172053969,2.25033482771505,0.0939326623816376,2.19584218343235,0.0856801803338481,2.18970589562718,0.0839213309617955
"k3,n4000",2.24102909823155,0.0459362519242431,2.22050706632014,0.045632684180999,2.26075338021268,0.0468732966489705,2.24846212441204,0.0425967910367452,2.2349017278773,0.0478317821562827
"k3,n16000",2.24184194817742,0.0234925188897389,2.21056209846509,0.0231887857595394,2.25513933170874,0.0235969011660514,2.20914423847558,0.0222908127769645,2.19389706111501,0.0212058159482547
"k3,n64000",2.20824467075062,0.0111801678021692,2.22424897692922,0.0111572581593164,2.20688237335077,0.0109662399866024,2.24103126001197,0.0109251809518506,2.22677718788149,0.0107752962422564
"k3,n256000",2.21365130930356,0.0056771024096976,2.22684239401858,0.00564050237471585,2.21304562507298,0.00553440229104357,2.2187466181653,0.00546275313107361,2.22302626335616,0.00548434320510658
